Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs,dipAdvantage
0,3.2,3.2,0.0,-0.000173,81,24,0.0,99.982687,0.017313,0.0,0.0,0.0,0,99.982687,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,105,0.0,-1.0,-1.0,99.982687,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,1,0,0,0,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
1,3.2,3.2,0.0,-0.000173,65,24,0.0,99.982687,0.017313,0.0,0.0,0.0,0,99.982687,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,89,0.0,-1.0,-1.0,99.982687,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,1,0,0,0,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
2,3.2,3.2,0.0,-0.000173,52,24,0.0,99.948061,0.051939,0.034626,0.0,0.0,0,99.948061,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,76,0.0,-1.0,-1.0,99.948061,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,1,2,0,0,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
3,3.2,3.2,0.0,-0.000173,42,24,0.0,99.930748,0.069252,0.051939,0.0,0.0,0,99.930748,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,66,0.0,-1.0,-1.0,99.930748,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,1,3,0,0,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
4,3.2,3.2,0.0,-0.000173,750,24,0.017313,99.948061,0.034626,0.034626,0.0,0.0,0,99.948061,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,774,0.017313,-1.0,-1.0,99.948061,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,0,2,0,1,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
5,3.2,3.2,0.0,-0.000173,688,24,0.017313,99.671053,0.311634,0.017313,0.0,0.0,0,99.671053,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,712,0.017313,-1.0,-1.0,99.671053,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,17,1,0,1,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
6,3.2,3.2,0.0,-0.000174,651,24,0.017313,99.480609,0.502078,0.017313,0.0,0.0,0,99.480609,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,675,0.017313,-1.0,-1.0,99.480609,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,28,1,0,1,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
7,3.2,3.2,0.0,-0.000174,631,24,0.017313,99.324792,0.657895,0.0,0.0,0.0,0,99.324792,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,655,0.017313,-1.0,-1.0,99.324792,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,38,0,0,1,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
8,3.2,3.2,0.0,-0.000174,615,24,0.017313,99.065097,0.91759,0.017313,0.0,0.0,0,99.065097,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,639,0.017313,-1.0,-1.0,99.065097,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,52,1,0,1,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
9,3.2,3.2,0.0,-0.000175,607,24,0.017313,98.995845,0.986842,0.034626,0.0,0.0,0,98.995845,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018,631,0.017313,-1.0,-1.0,98.995845,0,76,1,0,0,0.0,0.018,0.0,800,24.0,6.0,26,5.0,1.25,0.00606,0.017313,-1.0,-1.0,0.0,900,-1.0,4,35,100,55,2,0,1,0,0,0,0.5,0,0,False,False,False,False,0,False,0.0,5.0,10.0,0,0,1.125
