Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs,dipAdvantage
0,3.200000,3.200000,0.000000,-0.000173,28,98,0.000000,99.982687,0.017313,0.000000,0.000000,0.000000,0,99.982687,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,126,0.000000,-1.000000,-1.0,99.982687,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,1,0,0,0,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
1,3.200000,3.200000,0.000000,-0.000173,23,96,0.000000,99.948061,0.051939,0.034626,0.000000,0.000000,0,99.948061,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,119,0.000000,-1.000000,-1.0,99.948061,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,1,2,0,0,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
2,3.200000,3.200000,0.000000,-0.000173,19,94,0.000000,99.965374,0.034626,0.017313,0.000000,0.000000,0,99.965374,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,113,0.000000,-1.000000,-1.0,99.965374,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,1,1,0,0,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
3,3.200000,3.200000,0.000000,-0.000173,15,93,0.000000,99.982687,0.017313,0.000000,0.000000,0.000000,0,99.982687,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,108,0.000000,-1.000000,-1.0,99.982687,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,1,0,0,0,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
4,3.200000,3.200000,0.000000,-0.000173,12,92,0.000000,99.948061,0.051939,0.034626,0.000000,0.000000,0,99.948061,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,104,0.000000,-1.000000,-1.0,99.948061,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,1,2,0,0,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
5,3.200000,3.200000,0.000000,-0.000173,625,91,0.017313,99.965374,0.017313,0.017313,0.000000,0.000000,0,99.965374,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,716,0.017313,-1.000000,-1.0,99.965374,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,0,1,0,1,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
6,3.200000,3.200000,0.000000,-0.000173,545,90,0.017313,99.740305,0.242382,0.034626,0.000000,0.000000,0,99.740305,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,635,0.017313,-1.000000,-1.0,99.740305,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,12,2,0,1,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
7,3.200000,3.200000,0.000000,-0.000173,500,89,0.017313,99.601801,0.380886,0.051939,0.000000,0.000000,0,99.601801,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,589,0.017313,-1.000000,-1.0,99.601801,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,19,3,0,1,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
8,3.200000,3.200000,0.000000,-0.000174,469,88,0.017313,99.376731,0.605956,0.051939,0.000000,0.000000,0,99.376731,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,557,0.017313,-1.000000,-1.0,99.376731,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,32,3,0,1,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
9,3.200000,3.200000,0.000000,-0.000174,449,87,0.017313,99.186288,0.796399,0.086565,0.017313,0.000000,0,99.186288,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.018000,536,0.017313,-1.000000,-1.0,99.186288,0,76,1,0,0,0.000000,0.018000,0.000000,800,24.000000,6.000000,26,5.000000,1.250000,0.006060,0.017313,-1.0,-1.0,0.000000,900,-1.0,4,35,100,40,5,1,1,0,0,0,0.500000,0,0,false,false,false,false,0,false,0.000000,5.000000,10.000000,0,0,1.125000
