Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs
10,0.0,0.0,3.0,0.0002928333333333333,1.0,0.0,0.0,99.98666666666668,0.012,0.0,0.0,0.0013333333333333333,0.0,99.98666666666668,0.0013333333333333333,,,0.026000000000000006,1.0,0.0,0.6553876333333333,-1.0,99.98666666666668,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
11,0.0,0.0,3.0,0.00032779999999999994,1.0,0.0,0.0,99.98666666666668,0.012,0.0,0.0,0.0013333333333333333,0.0,99.98666666666668,0.0013333333333333333,,,0.026000000000000006,1.0,0.0,0.7320431333333334,-1.0,99.98666666666668,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
12,0.0,0.0,3.0,0.0003555,1.0,0.0,0.0,99.98400000000001,0.01333333333333333,0.0,0.0,0.0026666666666666666,0.0,99.98400000000001,0.0026666666666666666,,,0.026000000000000006,1.0,0.0,0.8193655666666666,-1.0,99.98400000000001,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
13,0.0,0.0,3.0,0.0003881333333333334,1.0,0.0,0.0,99.98266666666669,0.014666666666666665,0.0,0.0,0.0026666666666666666,0.0,99.98266666666669,0.0026666666666666666,,,0.026000000000000006,1.0,0.0,0.8887011666666669,-1.0,99.98266666666669,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
14,0.0,0.0,3.0,0.0004034,4.2,47.4,0.0026666666666666666,99.98133333333335,0.011999999999999999,0.0,0.0,0.004,0.0,99.98133333333335,0.004,,,0.026000000000000006,51.6,0.0026666666666666666,0.9702116000000002,-1.0,99.98133333333335,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.3,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
15,0.0,0.0,3.0,0.0004155,4.2,47.4,0.0026666666666666666,99.94933333333334,0.04400000000000001,0.028,0.0026666666666666666,0.004,0.0,99.94933333333334,0.004,,,0.026000000000000006,51.6,0.0026666666666666666,1.0564084666666667,-1.0,99.94933333333334,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.3333333333333333,0.7,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
16,0.0,0.0,3.0,0.0004357333333333333,4.2,47.4,0.0026666666666666666,99.93333333333334,0.05733333333333334,0.037333333333333336,0.0026666666666666666,0.006666666666666667,0.0,99.93333333333334,0.006666666666666667,,,0.026000000000000006,51.6,0.0026666666666666666,1.1248503666666667,-1.0,99.93333333333334,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.43333333333333335,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
17,0.0,0.0,3.0,0.0004835333333333333,4.2,47.4,0.0026666666666666666,99.92666666666666,0.06266666666666668,0.042666666666666665,0.0026666666666666666,0.008,0.0,99.92666666666666,0.008,,,0.026000000000000006,51.6,0.0026666666666666666,1.2056511666666667,-1.0,99.92666666666666,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.43333333333333335,1.0666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
18,0.0,0.0,3.0,0.0004898000000000001,9.0,118.2,0.006666666666666667,99.92533333333333,0.060000000000000005,0.03866666666666667,0.004,0.008,0.0,99.92533333333333,0.008,,,0.026000000000000006,127.2,0.006666666666666667,1.3227218333333335,-1.0,99.92533333333333,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.43333333333333335,0.9666666666666667,0.1,0.16666666666666666,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
19,0.0,0.0,3.0,0.0007698666666666667,10.6,141.8,0.008,99.87866666666667,0.10533333333333333,0.08266666666666667,0.009333333333333334,0.008,0.0,99.87866666666667,0.008,,,0.026000000000000006,152.4,0.008,1.4117062,-1.0,99.87866666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.3333333333333333,2.066666666666667,0.23333333333333334,0.2,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
