Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs
0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,99.99866666666667,0.0013333333333333333,0.0,0.0,0.0,0.0,99.99866666666667,0.0,,,0.026000000000000006,1.0,0.0,-1.0,-1.0,99.99866666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
1,0.0,0.0,3.0,1.0566666666666667e-05,1.0,0.0,0.0,99.99866666666667,0.0013333333333333333,0.0,0.0,0.0,0.0,99.99866666666667,0.0,,,0.026000000000000006,1.0,0.0,0.0,-1.0,99.99866666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
2,0.0,0.0,3.0,1.8999999999999998e-05,1.0,0.0,0.0,99.99866666666667,0.0013333333333333333,0.0,0.0,0.0,0.0,99.99866666666667,0.0,,,0.026000000000000006,1.0,0.0,0.0264567,-1.0,99.99866666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
3,0.0,0.0,3.0,2.5666666666666666e-05,1.0,0.0,0.0,99.99600000000001,0.004,0.0,0.0,0.0,0.0,99.99600000000001,0.0,,,0.026000000000000006,1.0,0.0,0.047463766666666664,-1.0,99.99600000000001,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
4,0.0,0.0,3.0,5.2100000000000006e-05,1.0,0.0,0.0,99.99466666666667,0.005333333333333333,0.0,0.0,0.0,0.0,99.99466666666667,0.0,,,0.026000000000000006,1.0,0.0,0.06414376666666667,-1.0,99.99466666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
5,0.0,0.0,3.0,8.373333333333333e-05,1.0,0.0,0.0,99.992,0.008,0.0,0.0,0.0,0.0,99.992,0.0,,,0.026000000000000006,1.0,0.0,0.13030139999999998,-1.0,99.992,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
6,0.0,0.0,3.0,0.00012996666666666666,1.0,0.0,0.0,99.992,0.008,0.0,0.0,0.0,0.0,99.992,0.0,,,0.026000000000000006,1.0,0.0,0.20928836666666667,-1.0,99.992,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
7,0.0,0.0,3.0,0.00016676666666666666,1.0,0.0,0.0,99.99066666666667,0.009333333333333334,0.0,0.0,0.0,0.0,99.99066666666667,0.0,,,0.026000000000000006,1.0,0.0,0.3249188666666667,-1.0,99.99066666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
8,0.0,0.0,3.0,0.00020646666666666665,1.0,0.0,0.0,99.99066666666667,0.009333333333333334,0.0,0.0,0.0,0.0,99.99066666666667,0.0,,,0.026000000000000006,1.0,0.0,0.41673153333333335,-1.0,99.99066666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
9,0.0,0.0,3.0,0.0002274333333333333,2.6,23.6,0.0013333333333333333,99.98800000000001,0.010666666666666666,0.0,0.0,0.0,0.0,99.98800000000001,0.0,,,0.026000000000000006,26.2,0.0013333333333333333,0.5160891,-1.0,99.98800000000001,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.26666666666666666,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
10,0.0,0.0,3.0,0.0002652333333333333,2.6,23.6,0.0013333333333333333,99.97200000000001,0.025333333333333333,0.013333333333333334,0.0013333333333333333,0.0013333333333333333,0.0,99.97200000000001,0.0013333333333333333,,,0.026000000000000006,26.2,0.0013333333333333333,0.5908008333333332,-1.0,99.97200000000001,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.26666666666666666,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
11,0.0,0.0,3.0,0.0002847,4.2,47.2,0.0026666666666666666,99.968,0.028000000000000004,0.016,0.0013333333333333333,0.0013333333333333333,0.0,99.968,0.0013333333333333333,,,0.026000000000000006,51.4,0.0026666666666666666,0.7030366666666666,-1.0,99.968,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.26666666666666666,0.4,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
12,0.0,0.0,3.0,0.00031069999999999996,4.2,47.2,0.0026666666666666666,99.95200000000001,0.044,0.030666666666666665,0.0013333333333333333,0.0013333333333333333,0.0,99.95200000000001,0.0013333333333333333,,,0.026000000000000006,51.4,0.0026666666666666666,0.7868895333333334,-1.0,99.95200000000001,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.3,0.7666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
13,0.0,0.0,3.0,0.0003419333333333333,4.2,47.2,0.0026666666666666666,99.93866666666666,0.05733333333333334,0.042666666666666665,0.0013333333333333333,0.0013333333333333333,0.0,99.93866666666666,0.0013333333333333333,,,0.026000000000000006,51.4,0.0026666666666666666,0.8799269,-1.0,99.93866666666666,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.3333333333333333,1.0666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
14,0.0,0.0,3.0,0.00043023333333333335,5.8,70.8,0.004,99.93333333333334,0.060000000000000005,0.037333333333333336,0.005333333333333333,0.0026666666666666666,0.0,99.93333333333334,0.0026666666666666666,,,0.026000000000000006,76.6,0.004,0.9802569333333333,-1.0,99.93333333333334,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.43333333333333335,0.9333333333333333,0.13333333333333333,0.1,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
15,0.0,0.0,3.0,0.0007967666666666667,5.8,70.8,0.004,99.91466666666666,0.07733333333333334,0.05466666666666667,0.006666666666666667,0.004,0.0,99.91466666666666,0.004,,,0.026000000000000006,76.6,0.004,1.1613923666666668,-1.0,99.91466666666666,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,715.0,-1.0,1.0,1.0,0.0,0.4,1.3666666666666667,0.16666666666666666,0.1,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
