burst_size_DIP,replicate_id,seed,peak_IFN,t_peak_IFN,scenario
1500,1,-1,0.245783,84,baseline
1500,1,-1,0.217055,106,baseline
1500,1,-1,0.298643,98,baseline
1500,1,-1,0.236685,113,baseline
1500,1,-1,0.243935,106,baseline
1500,1,-1,0.251952,105,baseline
1500,1,-1,0.236419,94,baseline
1500,1,-1,0.277806,175,baseline
1500,1,-1,0.25913,185,baseline
1500,1,-1,0.261804,101,baseline
1500,1,-1,0.262574,216,baseline
1500,1,-1,0.346374,116,baseline
1500,1,-1,0.258865,85,baseline
1500,1,-1,0.365604,95,baseline
1500,1,-1,0.249305,87,baseline
1500,1,-1,0.284254,163,baseline
1500,1,-1,0.264753,79,baseline
1500,1,-1,0.311889,99,baseline
1500,1,-1,0.253429,77,baseline
1500,1,-1,0.337584,110,baseline
1500,1,-1,0.285284,124,baseline
1500,1,-1,0.324571,159,baseline
1600,1,-1,0.246174,98,baseline
1600,1,-1,0.219786,157,baseline
1600,1,-1,0.284645,99,baseline
1600,1,-1,0.277981,109,baseline
1600,1,-1,0.279664,158,baseline
1600,1,-1,0.237997,100,baseline
1600,1,-1,0.229063,94,baseline
1600,1,-1,0.212131,165,baseline
1600,1,-1,0.198264,84,baseline
1600,1,-1,0.254858,183,baseline
1600,1,-1,0.290508,127,baseline
1600,1,-1,0.21606,98,baseline
1600,1,-1,0.184732,97,baseline
1600,1,-1,0.311988,112,baseline
1600,1,-1,0.245741,76,baseline
1600,1,-1,0.295456,91,baseline
1600,1,-1,0.316217,87,baseline
1600,1,-1,0.248589,93,baseline
1600,1,-1,0.318959,105,baseline
1600,1,-1,0.265287,105,baseline
1600,1,-1,0.203101,171,baseline
1600,1,-1,0.266216,126,baseline
1600,1,-1,0.29379,124,baseline
1600,1,-1,0.271804,117,baseline
1600,1,-1,0.272664,94,baseline
1600,1,-1,0.279423,91,baseline
1600,1,-1,0.284902,175,baseline
1600,1,-1,0.291425,110,baseline
1600,1,-1,0.22982,184,baseline
1600,1,-1,0.224526,131,baseline
